transaction_id,user_id,user_name,timestamp,amount,merchant_name,merchant_category,recipient_name,recipient_type,payment_method,device_id,device_type,city,state,country,latitude,longitude,account_age_days,balance_before,balance_after,hour_of_day,day_of_week,is_weekend,is_salary_period,recipient_frequency_score,merchant_frequency_score,days_since_recipient_seen,device_familiarity,location_familiarity
TXN0000509,U001,Chirayu Mahajan,2024-05-06 16:39:02,665.85,Zomato,Food Delivery,Zomato,merchant,UPI,SAMS24-CM-001,Samsung Galaxy S24,Bhopal,Madhya Pradesh,India,23.256284,77.410949,666,5080.94,4415.09,16,Monday,0,0,0.000,0.837,0,1.0,1.0
TXN0005119,U004,Mehul Patil,2024-05-25 16:21:28,904.98,Swiggy,Food Delivery,Swiggy,merchant,UPI,ONPND-MP-004,OnePlus Nord,Nagpur,Maharashtra,India,21.143415,79.087226,445,4948.11,4043.13,16,Saturday,1,0,0.000,0.940,0,1.0,1.0
TXN0003197,U003,Farhan Farooqui,2024-02-18 09:32:27,788.41,Electricity Board,Utility,Electricity Board,merchant,Debit Card,SAMSM-FF-003,Samsung M Series,Mumbai,Maharashtra,India,19.080223,72.879593,2848,3586.41,2798.00,9,Sunday,1,0,0.000,0.888,0,1.0,1.0
TXN0005418,U004,Mehul Patil,2024-08-03 15:22:13,766.15,Swiggy,Food Delivery,Swiggy,merchant,Debit Card,ONPND-MP-004,OnePlus Nord,Nagpur,Maharashtra,India,21.147302,79.085377,515,1944.87,1178.72,15,Saturday,1,1,0.000,0.941,0,1.0,1.0
TXN0005285,U004,Mehul Patil,2024-07-05 20:25:25,859.84,Zomato,Food Delivery,Zomato,merchant,UPI,ONPND-MP-004,OnePlus Nord,Nagpur,Maharashtra,India,21.146517,79.084691,486,5285.87,4426.03,20,Friday,0,1,0.000,0.830,0,1.0,1.0
TXN0002579,U002,Pranav Chopade,2024-09-23 08:24:29,1446.21,Jio Fiber,Utility,Jio Fiber,merchant,Net Banking,IPHN15-PC-002,iPhone 15,Pune,Maharashtra,India,18.520830,73.858707,1466,65748.39,64302.18,8,Monday,0,0,0.000,0.957,0,1.0,1.0
TXN0002567,U002,Pranav Chopade,2024-09-20 18:57:03,3393.22,HP Petrol Pump,Fuel,HP Petrol Pump,merchant,Credit Card,IPHN15-PC-002,iPhone 15,Pune,Maharashtra,India,18.524051,73.855158,1463,39850.08,36456.86,18,Friday,0,0,0.000,0.839,0,1.0,1.0
TXN0001140,U001,Chirayu Mahajan,2024-10-06 13:54:14,2262.02,Amazon,E-Commerce,Amazon,merchant,UPI,SAMS24-CM-001,Samsung Galaxy S24,Bhopal,Madhya Pradesh,India,23.262599,77.413344,819,2890.59,628.57,13,Sunday,1,0,0.000,0.865,0,1.0,1.0
TXN0004974,U004,Mehul Patil,2024-04-17 16:09:28,246.12,Swiggy,Food Delivery,Swiggy,merchant,Google Pay,ONPND-MP-004,OnePlus Nord,Nagpur,Maharashtra,India,21.146360,79.091908,407,4573.22,4327.10,16,Wednesday,0,0,0.000,0.903,0,1.0,1.0
TXN0003829,U003,Farhan Farooqui,2024-07-21 11:54:51,845.67,P2P Transfer,Transfer,Chirayu Mahajan,individual,Net Banking,SAMSM-FF-003,Samsung M Series,Mumbai,Maharashtra,India,19.071609,72.881602,3002,2723.20,1877.53,11,Sunday,1,0,0.732,0.691,3,1.0,1.0
